"VU"	"d"
0.9778	1
0.9613	2
0.9438	3
0.9241	4
0.9062	5
0.8869	6
0.8772	7
0.8558	8
0.838	9
0.8164	10
0.8056	11
0.7868	12
0.7808	13
0.7673	14
0.7466	15
0.7265	16
0.7137	17
0.7028	18
0.686	19
0.6753	20
0.6544	21
0.64	22
0.6382	23
0.6205	24
0.6059	25
0.6011	26
0.579	27
0.5716	28
0.5619	29
0.5566	30
0.5323	31
0.5247	32
0.516	33
0.5129	34
0.5048	35
0.4892	36
0.4635	37
0.4669	38
0.4619	39
0.4525	40
0.438	41
0.4316	42
0.4295	43
0.4206	44
0.403	45
0.4029	46
0.391	47
0.38	48
0.3736	49
0.377	50
0.3648	51
0.3529	52
0.3592	53
0.3397	54
0.3421	55
0.3282	56
0.3211	57
0.3212	58
0.3107	59
0.2969	60
0.2996	61
0.2863	62
0.2849	63
0.2853	64
0.2775	65
0.2658	66
0.259	67
0.2528	68
0.2494	69
0.2499	70
0.2385	71
0.242	72
0.2376	73
0.2347	74
0.2216	75
0.2189	76
0.2109	77
0.212	78
0.2084	79
0.1966	80
0.1943	81
0.1882	82
0.1857	83
0.1952	84
0.1842	85
0.1838	86
0.1761	87
0.1819	88
0.18	89
0.1731	90
0.167	91
0.1562	92
0.1561	93
0.155	94
0.152	95
0.1434	96
0.1463	97
0.1456	98
0.1447	99
0.136	100
0.1342	101
0.1333	102
0.127	103
0.1209	104
0.1286	105
0.1172	106
0.1203	107
0.1158	108
0.1091	109
0.1168	110
0.1102	111
0.1121	112
0.1046	113
0.1035	114
0.0997	115
0.093	116
0.1024	117
0.0958	118
0.0947	119
0.0917	120
0.0918	121
0.0879	122
0.0842	123
0.0855	124
0.0835	125
0.0794	126
0.0774	127
0.0767	128
0.0743	129
0.0733	130
0.072	131
0.0703	132
0.0654	133
0.0705	134
0.0675	135
0.0668	136
0.0688	137
0.0615	138
0.0614	139
0.0615	140
0.0587	141
0.0593	142
0.0607	143
0.0539	144
0.0557	145
0.0509	146
0.0522	147
0.0508	148
0.0513	149
0.0497	150
0.0488	151
0.0479	152
0.0483	153
0.0471	154
0.0441	155
0.0419	156
0.0415	157
0.0399	158
0.0398	159
0.0412	160
0.0345	161
0.0365	162
0.0364	163
0.0335	164
0.0419	165
0.0373	166
0.0364	167
0.0327	168
0.0353	169
0.0298	170
0.0319	171
0.0311	172
0.0321	173
0.0302	174
0.0313	175
0.0323	176
0.0253	177
0.0274	178
0.0247	179
0.027	180
0.0265	181
0.0264	182
0.0255	183
0.0267	184
0.0244	185
0.025	186
0.0242	187
0.0229	188
0.0222	189
0.0215	190
0.0208	191
0.0196	192
0.0195	193
0.0186	194
0.0172	195
0.02	196
0.0192	197
0.0222	198
0.0179	199
0.0171	200
0.0178	201
0.0172	202
0.0178	203
0.0149	204
0.0139	205
0.0171	206
0.015	207
0.0147	208
0.0137	209
0.015	210
0.0148	211
0.017	212
0.0132	213
0.0117	214
0.0131	215
0.0112	216
0.0118	217
0.0139	218
0.0107	219
0.0128	220
0.0112	221
0.0101	222
0.0103	223
0.0102	224
0.0124	225
0.0109	226
0.0108	227
0.0115	228
0.0101	229
0.0083	230
0.0088	231
0.0104	232
0.0086	233
0.0079	234
0.0089	235
0.0085	236
0.0077	237
0.0076	238
0.0092	239
0.008	240
0.006	241
0.0079	242
0.0076	243
0.0061	244
0.008	245
0.0085	246
0.0075	247
0.0065	248
0.0073	249
0.0084	250
0.0056	251
0.0055	252
0.0074	253
0.0047	254
0.0061	255
0.0065	256
0.0052	257
0.0052	258
0.0065	259
0.0051	260
0.0059	261
0.0061	262
0.005	263
0.0052	264
0.0057	265
0.0036	266
0.004	267
0.0049	268
0.0044	269
0.0033	270
0.0054	271
0.0037	272
0.0043	273
0.0047	274
0.0038	275
0.0034	276
0.004	277
0.0041	278
0.0034	279
0.003	280
0.0032	281
0.003	282
0.0032	283
0.0039	284
0.0029	285
0.0032	286
0.0036	287
0.0023	288
0.003	289
0.0032	290
0.0026	291
0.0026	292
0.0019	293
0.0023	294
0.0028	295
0.0024	296
0.0023	297
0.0022	298
0.0033	299
0.0024	300
0.0032	301
0.0019	302
0.0019	303
0.0016	304
0.0017	305
0.0022	306
0.002	307
0.0026	308
0.0016	309
0.0023	310
0.0017	311
0.002	312
0.0017	313
0.0016	314
0.0022	315
0.0013	316
0.0015	317
0.0018	318
0.0018	319
0.0015	320
0.0015	321
0.0015	322
7e-04	323
0.0019	324
0.0019	325
0.0013	326
0.0012	327
0.0016	328
9e-04	329
0.0012	330
9e-04	331
9e-04	332
9e-04	333
0.0011	334
0.0014	335
5e-04	336
0.001	337
7e-04	338
0.0015	339
0.0011	340
0.0012	341
5e-04	342
0.0012	343
0.0011	344
0.0011	345
0.0015	346
0.001	347
9e-04	348
3e-04	349
0.001	350
7e-04	351
8e-04	352
0.001	353
7e-04	354
9e-04	355
8e-04	356
0.0012	357
5e-04	358
0.001	359
2e-04	360
7e-04	361
4e-04	362
7e-04	363
7e-04	364
6e-04	365
7e-04	366
5e-04	367
3e-04	368
4e-04	369
4e-04	370
6e-04	371
8e-04	372
3e-04	373
2e-04	374
4e-04	375
7e-04	376
4e-04	377
3e-04	378
2e-04	379
6e-04	380
9e-04	381
2e-04	382
3e-04	383
3e-04	384
3e-04	385
0.001	386
1e-04	387
4e-04	388
2e-04	389
4e-04	390
6e-04	391
4e-04	392
3e-04	393
5e-04	394
2e-04	395
5e-04	396
2e-04	397
3e-04	398
1e-04	399
2e-04	400
6e-04	401
3e-04	402
2e-04	403
0	404
5e-04	405
5e-04	406
1e-04	407
1e-04	408
2e-04	409
3e-04	410
3e-04	411
2e-04	412
2e-04	413
3e-04	414
2e-04	415
2e-04	416
1e-04	417
3e-04	418
2e-04	419
1e-04	420
3e-04	421
3e-04	422
4e-04	423
1e-04	424
2e-04	425
1e-04	426
4e-04	427
0	428
2e-04	429
1e-04	430
3e-04	431
2e-04	432
1e-04	433
1e-04	434
1e-04	435
0	436
0	437
2e-04	438
2e-04	439
3e-04	440
2e-04	441
1e-04	442
3e-04	443
1e-04	444
0	445
3e-04	446
1e-04	447
1e-04	448
1e-04	449
1e-04	450
0	451
0	452
0	453
1e-04	454
2e-04	455
0	456
0	457
2e-04	458
1e-04	459
0	460
0	461
0	462
2e-04	463
0	464
1e-04	465
2e-04	466
0	467
2e-04	468
0	469
1e-04	470
0	471
1e-04	472
1e-04	473
0	474
1e-04	475
0	476
0	477
0	478
1e-04	479
1e-04	480
1e-04	481
0	482
1e-04	483
1e-04	484
0	485
1e-04	486
1e-04	487
1e-04	488
0	489
0	490
0	491
0	492
0	493
0	494
1e-04	495
0	496
1e-04	497
1e-04	498
0	499
0	500
