"EN"	"d"
0.9048	1
0.8297	2
0.7443	3
0.6842	4
0.6194	5
0.5733	6
0.5139	7
0.4681	8
0.4186	9
0.3741	10
0.3495	11
0.3108	12
0.2815	13
0.2649	14
0.2355	15
0.2191	16
0.1927	17
0.181	18
0.1601	19
0.1478	20
0.1323	21
0.1154	22
0.1118	23
0.0981	24
0.0903	25
0.0838	26
0.073	27
0.0656	28
0.0618	29
0.0582	30
0.0481	31
0.0438	32
0.0418	33
0.0395	34
0.0357	35
0.0339	36
0.0292	37
0.025	38
0.0228	39
0.0213	40
0.0197	41
0.0192	42
0.0156	43
0.0148	44
0.0149	45
0.0107	46
0.0103	47
0.0089	48
0.0081	49
0.0075	50
0.0085	51
0.0059	52
0.006	53
0.0052	54
0.0044	55
0.0042	56
0.0044	57
0.0036	58
0.0042	59
0.002	60
0.0033	61
0.0027	62
0.0022	63
0.0023	64
0.0014	65
0.002	66
0.0013	67
0.0012	68
0.0012	69
9e-04	70
0.0012	71
8e-04	72
9e-04	73
9e-04	74
6e-04	75
3e-04	76
9e-04	77
6e-04	78
0.001	79
4e-04	80
